courseNum,section,creditHours,courseTitle,crn,maxStudent,weekday,instructor,scheduleStartTime,scheduleEndTime,room,notes,semesterTime
200B,1,3,Computer Concepts,63046,20,Monday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
200B,1,3,Computer Concepts,63046,20,Wednesday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
200B,1,3,Computer Concepts,63046,20,Friday,Rachamalla,13:00,13:50,EGRA 420,lab R in ASA 112E,Fall 2019
201,1,3,Problem Solv w/ Computers,67507,25,Monday,Ahmed,9:00,9:50,EGRA 219,Various 50 mins labs,Fall 2019
201,1,3,Problem Solv w/ Computers,67507,25,Wednesday,Ahmed,9:00,9:50,EGRA 219,Various 50 mins labs,Fall 2019
202,1,4,Intro to Computer Science,63052,25,Monday,Ahmed,11:00,11:50,EGRA 219,Intro Courses,Fall 2019
202,1,4,Intro to Computer Science,63052,25,Wednesday,Ahmed,11:00,11:50,EGRA 219,Intro Courses,Fall 2019
202,1,4,Intro to Computer Science,63052,25,Friday,Ahmed,11:00,11:50,EGRA 219,Intro Courses,Fall 2019
425,1,3,Cloud Computing,65052,25,Monday,Che,11:00,11:50,EGRA 320,Advanced Courses,Fall 2019
425,1,3,Cloud Computing,65052,25,Wednesday,Che,11:00,11:50,EGRA 320,Advanced Courses,Fall 2019
425,1,3,Cloud Computing,65052,25,Friday,Che,11:00,11:50,EGRA 320,Advanced Courses,Fall 2019
498,1,2,Senior Seminar,64640,30,Tuesday,Tessema,11:00,12:15,EGRA 200,Senior Class,Fall 2019
499,1,3,Senior Project,65003,30,Thursday,Tessema,14:00,15:15,EGRA 150,Project,Spring 2020
