courseNum,section,creditHours,courseTitle,crn,maxStudent,weekday,instructor,scheduleStartTime,scheduleEndTime,room,notes,semesterTime
201,1,3,Problem Solv w/ Computers,62881,60,Monday,Spantidi,09:00,09:50,EGRA 219,Various 50 mins labs,Spring 2020
201,1,3,Problem Solv w/ Computers,62881,60,Wednesday,Spantidi,09:00,09:50,EGRA 219,Various 50 mins labs,Spring 2020
200B,1,3,Computer Concepts,61302,40,Anyday,Rachamalla,08:00,08:50,EGRA 222,lab R in ASA 112E,Spring 2020
220,1,3,Programming w/ Data Structure,67509,75,Anyday,TBA,08:00,08:50,EGRA 2193,Various 50 mins labs,Spring 2020
221,1,3,Internet & Mobile Computing,67510,75,Anyday,TBA,08:00,08:50,EGRA 2194,Various 50 mins labs,Spring 2020
280,1,3,Computational Stat I,67507,75,Anyday,TBA,08:00,08:50,EGRA 2191,Various 50 mins labs,Fall 2019
306,1,3,Linux Programming,67507,75,Anyday,TBA,08:00,08:50,EGRA 2191,Various 50 mins labs,Spring 2020
311,1,3,Theory Prog Languages,67508,75,Anyday,TBA,08:00,08:50,EGRA 2192,Various 50 mins labs,Spring 2020
320,1,3,Computer Org Architecture,67509,75,Anyday,TBA,08:00,08:50,EGRA 2193,Various 50 mins labs,Spring 2020
330,1,3,Intro Des Analysis of Alg,67510,75,Anyday,TBA,08:00,08:50,EGRA 2194,Various 50 mins labs,Spring 2020
335,1,3,Operating Systems,67507,75,Anyday,TBA,08:00,08:50,EGRA 2191,Various 50 mins labs,Spring 2020
407,1,3,Avd Linux,67508,75,Anyday,TBA,08:00,08:50,EGRA 2192,Various 50 mins labs,Spring 2020
408,1,3,Applied Cryptography,67509,75,Anyday,TBA,08:00,08:50,EGRA 2193,Various 50 mins labs,Spring 2020
410,1,3,Computer Security,67510,75,Anyday,TBA,08:00,08:50,EGRA 2194,Various 50 mins labs,Spring 2020
