Subj,Numb,Sect,CRN,Title,Cred,StartDate,EndDate,Max,Waitlist,Appr,DAYS1,TIMES1,LOC1,DAYS2,TIMES2,LOC2,Long_Title
CS,200B,001,63046,Computer Concepts,3 to 3,,,20,,,MWF,1300 - 1350,EGRA 0420,R,1100 - 1150,ASA 0112E,
CS,200B,002,63047,Computer Concepts *,3 to 3,,,20,,,MWF,1300 - 1350,EGRA 0420,R,1200 - 1250,ASA 0112E,
CS,201,001,67507,Problem Solving with Computers,3 to 3,,,25,,,MW,0900 - 0950,EGRA 0219,MW,1200 - 1250,ASA 0112A,
CS,201,002,67508,Problem Solving with Computers,3 to 3,,,25,,,MW,0900 - 0950,EGRA 0219,MW,1500 - 1550,ASA 0112A,
CS,201,003,67509,Problem Solving with Computers,3 to 3,,,25,,,MW,0900 - 0950,EGRA 0219,MW,1600 - 1650,ASA 0112A,
CS,202,001,63052,Intro to Computer Science,4 to 4,,,25,,,MWF,1100 - 1150,EGRA 0219,W,0900 - 1050,ASA 0112E,
CS,202,002,63053,Intro to Computer Science,4 to 4,,,25,,,MWF,1100 - 1150,EGRA 0219,T,1300 - 1450,ASA 0112E,
CS,202,003,63054,Intro to Computer Science,4 to 4,,,25,,,MWF,1100 - 1150,EGRA 0219,T,1500 - 1650,ASA 0112E,
CS,215,001,63055,Discrete Mathematics,4 to 4,,,40,,,TR,1000 - 1150,EGRA 0220,,-,,
CS,220,001,63056,Programming w/Data Structures,4 to 4,,,25,,,MWF,1300 - 1350,EGRA 0207,M,0900 - 1050,EGRA 0408,
CS,220,002,67968,Programming w/Data Structures,4 to 4,,,25,,,MWF,1300 - 1350,EGRA 0207,M,1100 - 1250,EGRA 0408,
CS,221,001,66050,Internet & Mobile Computing,4 to 4,,,23,,,MWF,1400 - 1450,ASA 0112A,R,1100 - 1250,ASA 0112A,
CS,221,002,65495,Internet & Mobile Computing,4 to 4,,,7,,,MWF,1400 - 1450,ASA 0112A,R,1100 - 1250,ASA 0112A,
CS,280,001,66242,Computational Statistics I,3 to 3,,,35,,,MWF,1600 - 1650,EGRA 0320,,-,,
CS,290,001,65496,Comm Skills & Ethics for CS,3 to 3,,,30,,,TR,0935 - 1050,EGRA 0308,,-,,
CS,304,001,65997,Advnc Object-Oriented Progrmng,3 to 3,,,25,,,TR,1100 - 1215,EGRA 0408,,-,,
CS,305,001,64943,Software Development,3 to 3,,,25,,,TR,1535 - 1650,EGRA 0408,,-,,
CS,306,001,64308,Linux/UNIX Programming,3 to 3,,,30,,,MWF,1500 - 1550,EGRA 0207,F,1500 - 1550,ASA 0112E,
CS,311,001,63057,Theory Programming Languages,3 to 3,,,25,,,TR,1400 - 1515,EGRA 0220,,-,,
CS,320,001,65998,Computer Organiztn & Architect,3 to 3,,,25,,,MWF,1200 - 1250,EGRA 0222,,-,,
CS,330,001,63058,Intro Des & Analysis of Alg,3 to 3,,,28,,,MWF,1000 - 1050,EGRA 0422,,-,,
CS,335,001,63059,Operating Systems,3 to 3,,,25,,,MWF,1100 - 1150,EGRA 0310,,-,,
CS,407,001,67514,Adv Linux/UNIX Programming,3 to 3,,,20,,,MWF,1000 - 1050,EGRA 0210,,-,,
CS,408,001,63060,Applied Cryptography,3 to 3,,,20,,,M,1700 - 1945,EGRA 0220,,-,,
CS,410,001,68935,Computer Security,3 to 3,,,25,,,TR,0800 - 0915,EGRA 0320,,-,,
CS,412,001,66000,Programming Distributed Apps,3 to 3,,,25,,,MWF,1300 - 1350,EGRA 0408,,-,,
CS,420,001,65497,Distributed Systems,3 to 3,,,30,,,MWF,1200 - 1250,EGRA 0320,,-,,
CS,430,001,63061,Database Systems,3 to 3,,,25,,,TR,1400 - 1515,EGRA 0322,,-,,
CS,437,001,63063,Machine Learn & Soft Computing,3 to 3,,,25,,,TR,0935 - 1050,EGRA 0320,,-,,
CS,447,001,63064,Introduction to Graph Theory,3 to 3,,,10,,,MWF,1300 - 1350,LIB 0724,,-,,
CS,455,001,66249,Adv Alg Design & Analysis,3 to 3,,,30,,,TR,1535 - 1650,EGRA 0308,,-,,
CS,472,001,63065,Linear Programming (MATH),3 to 3,,,10,,,MWF,1100 - 1150,EGRA 0208,,-,,
CS,485,001,67708,Computer Graphics,3 to 3,,,20,,,TR,1400 - 1515,EGRA 0422,,-,,
